DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
11951.09	5631.7	2.0291	4592.15	0.6409	12241.6	100.21
11972.25	5414.4	2.0008	4431.04	0.6344	11787.51	96.91
12392.66	5605.8	2.0214	4582.59	0.6336	11964.16	98.24
12099.66	5545.6	1.9858	4555.95	0.6393	12260.44	99.35
12532.6	5689.1	1.9997	4692	0.6412	12745.22	100.08
12422.86	5660.4	2.0019	4676.68	0.6345	12706.63	99.13
12302.46	5717.5	2.0096	4719.53	0.633	12604.58	99.88
12216.4	5692.9	1.9889	4695.92	0.6346	12820.47	99.72
12262.89	5702.1	1.9875	4707.07	0.6311	12525.54	99.52
12654.36	5852.6	1.9755	4866	0.6412	12656.42	101.86
12608.92	5915.9	1.9813	4911.97	0.6406	13189.36	102.69
12626.03	5891.3	1.9952	4887.87	0.6396	13389.9	102.27
12609.42	5947.1	1.9943	4900.88	0.6352	13293.22	101.57
12612.43	6014.8	1.9896	4944.6	0.6365	13450.23	102.53
12576.44	5990.2	1.9682	4912.69	0.6366	13250.43	102.58
12527.26	5983.9	1.9741	4874.97	0.6338	13111.89	102.29
12581.98	5965.1	1.9787	4859.42	0.6333	12945.3	100.99
12325.42	5895.5	1.9715	4797.93	0.6321	13323.73	101.1
12302.06	5831.6	1.9838	4766.49	0.6313	12917.51	100.72
12362.47	5906.9	1.9624	4780.68	0.6328	12990.58	101.35
12619.27	6046.2	1.9758	4855.1	0.627	13146.13	101.31
12620.49	5980.4	1.9855	4862.14	0.6288	13398.3	102.37
12849.36	6056.5	1.9972	4961.69	0.6356	13476.45	104.46
12825.02	6053	1.9808	4910.35	0.6282	13696.55	103.13
12720.23	6034.7	1.9945	4872.64	0.626	13547.82	103.19
12763.22	6083.6	1.9803	4944.65	0.6298	13579.16	103.62
12848.95	6050.7	1.9728	4929.55	0.6369	13540.87	104.02
12891.86	6091.4	1.9886	4978.21	0.6386	13863.47	104.13
12871.75	6090.4	1.9948	5012.75	0.6393	13894.37	104.49
12820.13	6087.3	1.9803	4996.54	0.6422	13849.99	104.51
13058.2	6215.5	1.975	5069.71	0.6491	14049.26	105.32
12814.35	6261	1.9514	5075.31	0.6495	14102.48	105.34
